iteration,best_fitness
1,0.15000000000000002
2,0.125
3,0.125
4,0.125
5,0.125
6,0.125
7,0.125
8,0.09999999999999998
9,0.09999999999999998
10,0.09999999999999998
11,0.09999999999999998
12,0.09999999999999998
13,0.09999999999999998
14,0.09999999999999998
15,0.09999999999999998
16,0.09999999999999998
17,0.09999999999999998
18,0.09999999999999998
19,0.09999999999999998
20,0.09999999999999998
21,0.09999999999999998
22,0.09999999999999998
23,0.09999999999999998
24,0.09999999999999998
25,0.09999999999999998
26,0.09999999999999998
27,0.09999999999999998
28,0.09999999999999998
29,0.09999999999999998
30,0.09999999999999998
31,0.09999999999999998
32,0.09999999999999998
33,0.09999999999999998
34,0.09999999999999998
35,0.09999999999999998
36,0.09999999999999998
37,0.09999999999999998
38,0.09999999999999998
39,0.09999999999999998
40,0.09999999999999998
41,0.09999999999999998
42,0.09999999999999998
43,0.09999999999999998
44,0.09999999999999998
45,0.09999999999999998
46,0.09999999999999998
47,0.09999999999999998
48,0.09999999999999998
49,0.09999999999999998
50,0.09999999999999998
