iteration,best_fitness
1,0.025000000000000022
2,0.025000000000000022
3,0.025000000000000022
4,0.025000000000000022
5,0.025000000000000022
6,0.025000000000000022
7,0.025000000000000022
8,0.025000000000000022
9,0.025000000000000022
10,0.025000000000000022
11,0.025000000000000022
12,0.025000000000000022
13,0.025000000000000022
14,0.025000000000000022
15,0.025000000000000022
16,0.025000000000000022
17,0.025000000000000022
18,0.025000000000000022
19,0.025000000000000022
20,0.025000000000000022
21,0.025000000000000022
22,0.025000000000000022
23,0.025000000000000022
24,0.025000000000000022
25,0.025000000000000022
26,0.025000000000000022
27,0.025000000000000022
28,0.025000000000000022
29,0.025000000000000022
30,0.025000000000000022
31,0.025000000000000022
32,0.025000000000000022
33,0.025000000000000022
34,0.025000000000000022
35,0.025000000000000022
36,0.025000000000000022
37,0.025000000000000022
38,0.025000000000000022
39,0.025000000000000022
40,0.025000000000000022
41,0.025000000000000022
42,0.025000000000000022
43,0.025000000000000022
44,0.025000000000000022
45,0.025000000000000022
46,0.025000000000000022
47,0.025000000000000022
48,0.025000000000000022
49,0.025000000000000022
50,0.025000000000000022
